2016-12-07 17:30:18.747410||meta||agents||4
2016-12-07 17:30:18.747444||meta||treatnames||control ()@|experimental (politics)
2016-12-07 17:30:18.747550||meta||block_id start||0
2016-12-07 17:30:18.747562||meta||assignment||2@|1@|0@|3
2016-12-07 18:07:09.453056||treatment||visit website||http://fairvote.org||0||1
2016-12-07 18:07:09.662665||treatment||visit website||http://fairvote.org||3||1
2016-12-07 18:07:17.486669||treatment||visit website||http://aceproject.org||0||1
2016-12-07 18:07:21.898650||treatment||visit website||http://aceproject.org||3||1
2016-12-07 18:07:26.314633||treatment||visit website||http://votenet.com||0||1
2016-12-07 18:07:33.214145||treatment||visit website||http://votenet.com||3||1
2016-12-07 18:07:39.991305||treatment||visit website||http://blackboxvoting.org||0||1
2016-12-07 18:07:44.762778||treatment||visit website||http://blackboxvoting.org||3||1
2016-12-07 18:07:52.035419||treatment||visit website||http://aristotle.com||0||1
2016-12-07 18:07:54.418725||treatment||visit website||http://aristotle.com||3||1
2016-12-07 18:08:02.821425||treatment||visit website||http://ifes.org||0||1
2016-12-07 18:08:06.398599||treatment||visit website||http://ifes.org||3||1
2016-12-07 18:08:12.811618||treatment||visit website||http://completecampaigns.com||0||1
2016-12-07 18:08:15.272393||treatment||visit website||http://completecampaigns.com||3||1
2016-12-07 18:08:24.436778||treatment||visit website||http://bluestatedigital.com||0||1
2016-12-07 18:08:26.687471||treatment||visit website||http://bluestatedigital.com||3||1
2016-12-07 18:08:44.069092||treatment||visit website||http://electoral-reform.org.uk||3||1
2016-12-07 18:08:44.912435||treatment||visit website||http://electoral-reform.org.uk||0||1
2016-12-07 18:08:50.828587||treatment||visit website||http://fidlar.com||3||1
2016-12-07 18:08:51.533968||treatment||visit website||http://fidlar.com||0||1
2016-12-07 18:09:01.903026||treatment||visit website||http://campaignsandelections.com||3||1
2016-12-07 18:09:04.703004||treatment||visit website||http://campaignsandelections.com||0||1
2016-12-07 18:09:12.029960||treatment||visit website||http://electionguide.org||3||1
2016-12-07 18:09:13.906148||treatment||visit website||http://electionguide.org||0||1
2016-12-07 18:09:21.502171||treatment||visit website||http://e-democracy.org||0||1
2016-12-07 18:09:21.738655||treatment||visit website||http://e-democracy.org||3||1
2016-12-07 18:09:29.769947||treatment||visit website||http://onlinecandidate.com||3||1
2016-12-07 18:09:32.675218||treatment||visit website||http://onlinecandidate.com||0||1
2016-12-07 18:09:36.836246||treatment||visit website||http://robodial.org||3||1
2016-12-07 18:09:36.836313||event||progress-marker||training-end||3||1
2016-12-07 18:09:40.663571||treatment||visit website||http://robodial.org||0||1
2016-12-07 18:09:40.663645||event||progress-marker||training-end||0||1
2016-12-07 18:09:41.839575||event||progress-marker||measurement-start||3||1
2016-12-07 18:09:42.222277||event||progress-marker||measurement-start||2||0
2016-12-07 18:09:42.421257||event||progress-marker||measurement-start||1||0
2016-12-07 18:09:45.671658||event||progress-marker||measurement-start||0||1
2016-12-07 18:10:02.734567||measurement||loadtime||0:00:15.889800||3||1
2016-12-07 18:10:04.848434||measurement||loadtime||0:00:17.621769||2||0
2016-12-07 18:10:05.213949||measurement||loadtime||0:00:17.788594||1||0
2016-12-07 18:10:07.063833||measurement||loadtime||0:00:16.387310||0||1
2016-12-07 18:10:13.529049||measurement||loadtime||0:00:05.790159||3||1
2016-12-07 18:10:16.989945||measurement||loadtime||0:00:07.137235||2||0
2016-12-07 18:10:17.910061||measurement||loadtime||0:00:05.843406||0||1
2016-12-07 18:10:23.094127||measurement||loadtime||0:00:04.563028||3||1
2016-12-07 18:10:27.690600||measurement||loadtime||0:00:05.695945||2||0
2016-12-07 18:10:27.996999||measurement||loadtime||0:00:05.082190||0||1
2016-12-07 18:10:34.084816||measurement||loadtime||0:00:05.989541||3||1
2016-12-07 18:10:39.516682||measurement||loadtime||0:00:06.518015||0||1
2016-12-07 18:10:43.600906||measurement||loadtime||0:00:10.906245||2||0
2016-12-07 18:10:44.230463||measurement||loadtime||0:00:05.143717||3||1
2016-12-07 18:10:49.404656||measurement||loadtime||0:00:04.884331||0||1
2016-12-07 18:10:54.110189||measurement||loadtime||0:00:05.504586||2||0
2016-12-07 18:10:54.922922||measurement||loadtime||0:00:05.688282||3||1
2016-12-07 18:11:04.282326||measurement||loadtime||0:00:05.167671||2||0
2016-12-07 18:11:06.468498||measurement||loadtime||0:00:12.063459||0||1
2016-12-07 18:11:06.702060||measurement||loadtime||0:00:06.774465||3||1
2016-12-07 18:11:10.229379||error||collecting ads||Error||1||0
2016-12-07 18:11:16.759042||measurement||loadtime||0:00:05.052351||3||1
2016-12-07 18:11:20.159078||measurement||loadtime||0:00:08.687872||0||1
2016-12-07 18:11:25.668465||measurement||ad||2016-12-07 18:11:24.947154@|Are You Eligible for Aid?@|www.americanhoperesources.com@|Low Income Resource for US Citizens Suffering from Financial Hardship||3||1
